2019-09-03 15:32:02,b'Boeing Sinks on Report that New Delays Could Keep 737 Max Grounded into Holiday Season\n\n$UAL $AAL $BA #Boeing #FAA\xe2\x80\xa6 https://t.co/ohoZ5qzctf'
2019-09-03 14:24:16,b'I hope @United is ready to run those vouchers for the customers on flight #UA1762 #unitedAIRLINES'
2019-09-03 14:17:39,b'@coffinxxqueen @TylerSavingVice #unitedAIRLINES SUCKS'
2019-09-03 14:02:58,b'RT @nonrevnick: Who else loves when you can see the shadow of your plane on the ground?! #aviation #boeing #unitedairlines https://t.co/DHj\xe2\x80\xa6'
2019-09-03 14:01:48,b'RT @29Aviation: https://t.co/QQ4mRAiL11 | #UnitedAirlines #Boeing787 climbing away from #Munich #Airport on her way to #SanFrancisco | #Uni\xe2\x80\xa6'
2019-09-03 14:01:28,b'RT @RebelTweeter280: @united doesnt respond to flight cancellation or help elderly disabled woman 6/15. No CS number available 2 call Sever\xe2\x80\xa6'
2019-09-03 14:00:28,b'https://t.co/QQ4mRAiL11 | #UnitedAirlines #Boeing787 climbing away from #Munich #Airport on her way to\xe2\x80\xa6 https://t.co/wfTYcznkb9'
2019-09-03 13:55:14,b'RT @RebelTweeter280: @united has continued to fail @ their customer service. They still have not fully refunded a cancelled flight from ove\xe2\x80\xa6'
2019-09-03 13:53:49,b'@united - Your customer service is terrible at #newarkairport right now. Anyone want to help #unitedairlines customers out? Anybody???'
2019-09-03 13:30:58,b'RT @nonrevnick: Who else loves when you can see the shadow of your plane on the ground?! #aviation #boeing #unitedairlines https://t.co/DHj\xe2\x80\xa6'
2019-09-03 13:20:54,b'RT @nonrevnick: Who else loves when you can see the shadow of your plane on the ground?! #aviation #boeing #unitedairlines https://t.co/DHj\xe2\x80\xa6'
2019-09-03 13:06:19,"b'\xe2\x81\xa6\xe2\x81\xa6@UNITEDA1RLINES\xe2\x81\xa9 This boy lost his blanket lost in New York at \xe2\x81\xa6@LGAairport\xe2\x81\xa9 #Unitedairlines counter, Terminal B,\xe2\x80\xa6 https://t.co/C2R9kCVxIy'"
2019-09-03 12:55:33,b'#UnitedAirlines the metro bus of the sky.  I am pretty sure there wa a pan handler or two on my flight. \xf0\x9f\x98\x82'
2019-09-03 12:47:02,b'RT @RebelTweeter280: @united doesnt respond to flight cancellation or help elderly disabled woman 6/15. No CS number available 2 call Sever\xe2\x80\xa6'
2019-09-03 12:46:54,b'RT @RebelTweeter280: @united has continued to fail @ their customer service. They still have not fully refunded a cancelled flight from ove\xe2\x80\xa6'
2019-09-03 12:43:51,b'@united doesnt respond to flight cancellation or help elderly disabled woman 6/15. No CS number available 2 call Se\xe2\x80\xa6 https://t.co/lwBocEhFxH'
2019-09-03 12:32:15,b'@united has continued to fail @ their customer service. They still have not fully refunded a cancelled flight from\xe2\x80\xa6 https://t.co/ZwPhI0pgFT'
2019-09-03 12:21:50,b'RT @danhorner__: Whoever made this is genius #NewUnitedAirlinesMottos #unitedAIRLINES #boycottunited #BoycottUnitedAirlines https://t.co/Mi\xe2\x80\xa6'
2019-09-03 12:06:45,b'RT @nonrevnick: Who else loves when you can see the shadow of your plane on the ground?! #aviation #boeing #unitedairlines https://t.co/DHj\xe2\x80\xa6'
2019-09-03 11:43:27,b'RT @nonrevnick: Who else loves when you can see the shadow of your plane on the ground?! #aviation #boeing #unitedairlines https://t.co/DHj\xe2\x80\xa6'
2019-09-03 11:42:08,b'RT @nonrevnick: Who else loves when you can see the shadow of your plane on the ground?! #aviation #boeing #unitedairlines https://t.co/DHj\xe2\x80\xa6'
2019-09-03 11:39:06,"b'Flight was scheduled to depart Syracuse for Chicago at 7:30am. It is now 7:38am. No one has boarded the plane, and\xe2\x80\xa6 https://t.co/ZeTZzC8Q07'"
2019-09-03 11:01:27,b'https://t.co/UyRl6SY45w live domain name auction! #Jamaica #jamaican #jamaicaclassifiedonline #reggae #music\xe2\x80\xa6 https://t.co/ibaMpOzucC'
2019-09-03 10:51:12,"b'shauting atendees, very unpolite service! #unitedAIRLINES #unitedbrokemyguitar'"
2019-09-03 10:51:04,b'#unitedAIRLINES #shameonyou. I was on a 6 hour flight with my one year old son from Alaska to Chicago. Flight UA996\xe2\x80\xa6 https://t.co/7Yy5K41aNK'
2019-09-03 09:34:29,b'RT @nonrevnick: Who else loves when you can see the shadow of your plane on the ground?! #aviation #boeing #unitedairlines https://t.co/DHj\xe2\x80\xa6'
2019-09-03 08:32:18,b'Zendaya is DISGUSTED With United Airlines After They Almost KILL a Paying Passenger https://t.co/iDlEc7gnVV #United\xe2\x80\xa6 https://t.co/EpVhPV8XgC'
2019-09-03 07:55:06,b'RT @nonrevnick: Who else loves when you can see the shadow of your plane on the ground?! #aviation #boeing #unitedairlines https://t.co/DHj\xe2\x80\xa6'
2019-09-03 07:49:06,"b'#unitedairlines but really the kicker is that you won\xe2\x80\x99t rebook a flight to my destination, in Italy, even though yo\xe2\x80\xa6 https://t.co/j1YUVObFOV'"
2019-09-03 07:49:06,"b'@UNITEDA1RLINES .@unitedairlines or the second plane you put us on- reeked of gasoline, my window shook &amp; had come\xe2\x80\xa6 https://t.co/B5f7dPMcAH'"
2019-09-03 07:39:05,b'RT @AaronRFernandes: Matt Damon Gets KICKED OFF United Airlines! https://t.co/wXxhsrANBI #JimmyKimmel #MattDamon #UnitedAirlines https://t.\xe2\x80\xa6'
2019-09-03 07:27:34,b'RT @nonrevnick: Who else loves when you can see the shadow of your plane on the ground?! #aviation #boeing #unitedairlines https://t.co/DHj\xe2\x80\xa6'
2019-09-03 06:51:53,b'RT @nonrevnick: Who else loves when you can see the shadow of your plane on the ground?! #aviation #boeing #unitedairlines https://t.co/DHj\xe2\x80\xa6'
2019-09-03 06:32:10,b'Matt Damon Gets KICKED OFF United Airlines! https://t.co/wXxhsrANBI #JimmyKimmel #MattDamon #UnitedAirlines https://t.co/h9Qbhjyv9D'
2019-09-03 06:23:21,b'RT @nonrevnick: Who else loves when you can see the shadow of your plane on the ground?! #aviation #boeing #unitedairlines https://t.co/DHj\xe2\x80\xa6'
2019-09-03 06:11:16,b'RT @nonrevnick: Who else loves when you can see the shadow of your plane on the ground?! #aviation #boeing #unitedairlines https://t.co/DHj\xe2\x80\xa6'
2019-09-03 05:46:44,b'@united how can you just all leave and go to bed when your clients are stuck at the airport with no support!  You m\xe2\x80\xa6 https://t.co/XjxoeFlUNg'
2019-09-03 05:46:37,b'RT @vskrzypek: #Delta thank you for refunding us for our flight Into the Bahamas.  #UnitedAirlines thanks for denying our request for a ref\xe2\x80\xa6'
2019-09-03 05:40:51,b'Everyone!!! I am so excited to announce that I will NEVER be flying @united again!!! We are happy with the decision\xe2\x80\xa6 https://t.co/0Wftoeu8YM'
2019-09-03 05:27:49,b'RT @nonrevnick: Who else loves when you can see the shadow of your plane on the ground?! #aviation #boeing #unitedairlines https://t.co/DHj\xe2\x80\xa6'
2019-09-03 04:50:57,"b'Good night #unitedAIRLINES ...\nPlane 4h30 late included 3h30 locked inside, on the ground without water. Once at th\xe2\x80\xa6 https://t.co/r7ab8PJ15f'"
2019-09-03 04:41:30,"b'Because I was told to put it on Twitter for visibility- Fuck #unitedAIRLINES. Technically yesterday, I had the WORS\xe2\x80\xa6 https://t.co/PzB3Nr5oHb'"
2019-09-03 04:29:53,b'250 PEOPLE IN LINE #UnitedAirlines'
2019-09-03 04:29:33,b'@EWRairport Air traffic control cancelled my flight 1.5 hours ago. I\xe2\x80\x99m still in line for customer service with\xe2\x80\xa6 https://t.co/BHCsOzK1Ne'
2019-09-03 04:16:58,b'@DebraMessing What a dark abyss of disappointment ... I clicked through here and learned #UnitedAirlines and\xe2\x80\xa6 https://t.co/oU638XAjGT'
2019-09-03 04:08:37,b'RT @nonrevnick: Who else loves when you can see the shadow of your plane on the ground?! #aviation #boeing #unitedairlines https://t.co/DHj\xe2\x80\xa6'
2019-09-03 03:59:04,"b""I planned this trip for over a year to celebrate my birthday month and this is how @united do me. I'm sure I'm not\xe2\x80\xa6 https://t.co/BpbVcGepLt"""
2019-09-03 03:55:58,b'Sitting on tarmac at EWR \xe2\x80\x98cause no one will come out in a lightning storm so we can get into our gate. Who knew?\xe2\x80\xa6 https://t.co/5lS0bxsFql'
2019-09-03 03:53:45,b'RT @nonrevnick: Who else loves when you can see the shadow of your plane on the ground?! #aviation #boeing #unitedairlines https://t.co/DHj\xe2\x80\xa6'
2019-09-03 03:25:15,"b'So the Charleston, SC coastline is ordered to evacuate but @united still will not refund my ticket. Credit towards\xe2\x80\xa6 https://t.co/PpmT9iyaUX'"
2019-09-03 03:24:55,b'All I am trying to do is get home #unitedairlines GET IT TOGETHER!'
2019-09-03 03:24:25,b'4-year-old\xe2\x80\x99s beloved blanket lost in New York #LaGuardia #UnitedAirlines #terminalblga  https://t.co/A6mCe4OMBI'
2019-09-03 03:20:27,"b'AND MORE FLIGHTS CANCELED, CLEAR SKIES IN ALL DIRECTIONS #UNITEDAIRLINES #DONTLIEABOUTFLIGHTS'"
2019-09-03 03:13:16,b'I love waiting an hour for a delayed flight and then another hour and a half waiting on the tarmac for an already l\xe2\x80\xa6 https://t.co/xmJbVddAn5'
2019-09-03 03:11:31,"b'RT @19thGrade: @drskyskull Welcome back! Right there with you! I have been trapped @Dulles since 3pm, while both of my #unitedAirlines plan\xe2\x80\xa6'"
2019-09-03 03:11:13,"b'@drskyskull Welcome back! Right there with you! I have been trapped @Dulles since 3pm, while both of my\xe2\x80\xa6 https://t.co/0GRXGaM92s'"
2019-09-03 02:59:16,b'RT @nonrevnick: Who else loves when you can see the shadow of your plane on the ground?! #aviation #boeing #unitedairlines https://t.co/DHj\xe2\x80\xa6'
2019-09-03 02:49:59,b'HULK IS NOW STUCK AT #UnitedAirlines UNTIL 2 AM.. NO WORD ON IF ASSHOLES THAT SCARED AN ENTIRE TERMINAL INTO FLEETI\xe2\x80\xa6 https://t.co/5xOOX3VBLA'
2019-09-03 02:49:04,b'Wow! Thanks @united for causing us to have to cancel our trip to SC rather than reschedule AND still making us pay\xe2\x80\xa6 https://t.co/tFGKzVckZH'
